name,chr,strand,start,end,symbol
7896759,chr1,+,781253,783614,LOC643837
7896761,chr1,+,850983,869824,SAMD11
7896779,chr1,+,885829,890958,KLHL17
7896798,chr1,+,891739,900345,PLEKHN1
7896817,chr1,+,938709,939782,ISG15
7896822,chr1,+,945365,981355,AGRN
7896859,chr1,+,1092346,1092441,---
7896861,chr1,+,1093105,1093195,---
7896863,chr1,+,1094247,1094330,---
7896865,chr1,+,1104939,1111106,TTLL10
7896878,chr1,+,1159893,1160281,B3GALT6
7896882,chr1,+,1207438,1217272,SCNN1D
7896908,chr1,+,1233856,1236920,PUSL1
7896952,chr1,+,1437417,1459927,ATAD3A
7896983,chr1,+,1500217,1501236,---
7896985,chr1,+,1540746,1555848,MIB2
7897026,chr1,+,1836125,1838593,CALML6
7897034,chr1,+,1940627,1952052,GABRD
7897044,chr1,+,1971768,2106694,PRKCZ
7897066,chr1,+,2111123,2112831,LOC100128003
7897068,chr1,+,2149993,2231511,SKI
7897076,chr1,+,2306670,2309808,---
7897078,chr1,+,2313188,2325048,RER1
7897089,chr1,+,2400388,2426829,PLCH2
7897119,chr1,+,2508107,2512766,C1orf93
7897128,chr1,+,2927905,2929327,ACTRT2
7897132,chr1,+,2975603,3345045,PRDM16
7897154,chr1,+,3373394,3387537,ARHGEF16
7897172,chr1,+,3531415,3536554,TPRG1L
7897179,chr1,+,3597095,3640327,TP73
7897196,chr1,+,3658824,3678069,CCDC27
7897210,chr1,+,3763896,3791844,DFFB
7897227,chr1,+,4614964,4743711,AJAP1
7897236,chr1,+,5975347,6081221,KCNAB2
7897257,chr1,+,6188775,6203946,RNF207
7897263,chr1,+,6191506,6203446,RNF207
7897277,chr1,+,6220457,6222077,C1orf211
7897280,chr1,+,6226848,6228225,HES3
7897286,chr1,+,6249418,6249879,UNQ6193
7897288,chr1,+,6407434,6443591,ESPN
7897293,chr1,+,6523500,6523581,---
7897295,chr1,+,6538020,6562404,TAS1R1
7897305,chr1,+,6562697,6571926,ZBTB48
7897322,chr1,+,6596342,6606680,PHF13
7897329,chr1,+,6607511,6616208,THAP3
7897339,chr1,+,6767970,7752351,CAMTA1
7897368,chr1,+,7202006,7202171,---
7897370,chr1,+,7753915,7764079,VAMP3
7897378,chr1,+,7766966,7786605,PER3
7897404,chr1,+,7944300,7967929,PARK7
7897416,chr1,+,8306976,8326814,SLC45A1
7897422,chr1,+,8310713,8310826,---
7897424,chr1,+,8876064,8876490,---
7897426,chr1,+,8928508,8957735,CA6
7897439,chr1,+,9065341,9065525,---
7897441,chr1,+,9217420,9249118,H6PD
7897449,chr1,+,9338352,9350221,SPSB1
7897469,chr1,+,9571563,9587593,TMEM201
7897482,chr1,+,9634376,9711759,PIK3CD
7897509,chr1,+,9926072,9968143,NMNAT1
7897520,chr1,+,9929962,9930281,---
7897522,chr1,+,9979841,9998664,RBP7
7897527,chr1,+,10015602,10163883,UBE4B
7897559,chr1,+,10145916,10146019,---
7897561,chr1,+,10193350,10364248,KIF1B
7897620,chr1,+,10381671,10402788,PGD
7897632,chr1,+,10432557,10434546,APITD1
7897648,chr1,+,10457589,10613405,PEX14
7897661,chr1,+,10599479,10599759,---
7897663,chr1,+,10995265,11008136,TARDBP
7897675,chr1,+,11171984,11178625,ANGPTL7
7897683,chr1,+,11208897,11209004,---
7897685,chr1,+,11256171,11277699,UBIAD1
7897691,chr1,+,11461881,11520227,PTCHD2
7897714,chr1,+,11637500,11645971,FBXO44
7897728,chr1,+,11646736,11656994,FBXO6
7897737,chr1,+,11674367,11702923,C1orf187
7897745,chr1,+,11718728,11733415,AGTRAP
7897753,chr1,+,11770455,11772228,C1orf167
7897774,chr1,+,11788793,11825788,CLCN6
7897803,chr1,+,11917332,11958181,PLOD1
7897824,chr1,+,11962955,11996152,MFN2
7897849,chr1,+,12002098,12014693,RP5-1077B9.4
7897860,chr1,+,12108544,12126851,TNFRSF8
7897877,chr1,+,12149646,12191864,TNFRSF1B
7897890,chr1,+,12212699,12494685,VPS13D
7897955,chr1,+,12627152,12649684,AADACL4
7897960,chr1,+,12698704,12711313,AADACL3
7897964,chr1,+,12722279,12722383,---
7897966,chr1,+,12728749,12743688,C1orf158
7897974,chr1,+,12757570,12760635,PRAMEF12
7897987,chr1,+,12839578,12844269,PRAMEF2
7898057,chr1,+,13782838,13817039,PDPN
7898070,chr1,+,13903936,14024159,PRDM2
7898084,chr1,+,14797799,15267238,RP1-21O18.1
7898102,chr1,+,15300716,15313781,RP1-21O18.1
7898112,chr1,+,15309028,15312527,---
7898115,chr1,+,15352871,15419561,TMEM51
7898124,chr1,+,15526202,15596596,FHAD1
7898161,chr1,+,15608977,15629427,EFHD2
7898167,chr1,+,15637524,15645740,CTRC
7898176,chr1,+,15655809,15671172,ELA2A
7898184,chr1,+,15675182,15690482,RP11-265F14.2
7898192,chr1,+,15725938,15770815,DNAJC16
7898209,chr1,+,15803678,15804125,LOC645317
7898211,chr1,+,15858950,15860804,DDI2
7898227,chr1,+,15926574,15933849,PLEKHM2
7898249,chr1,+,15935395,15940471,SLC25A34
7898256,chr1,+,15941503,15947064,TMEM82
7898263,chr1,+,15957841,15985671,FBLIM1
7898276,chr1,+,16027313,16027751,LOC441876
7898278,chr1,+,16046945,16139537,SPEN
7898294,chr1,+,16109978,16110077,---
7898296,chr1,+,16203317,16205767,C1orf64
7898300,chr1,+,16220952,16233132,CLCNKA
7898314,chr1,+,16242833,16256389,CLCNKB
7898328,chr1,+,16566169,16597227,C1orf144
7898337,chr1,+,16639819,16659159,NECAP2
7898355,chr1,+,16752543,16752615,---
7898373,chr1,+,16924647,16924720,---
7898377,chr1,+,17121031,17172061,CROCC
7898413,chr1,+,17404207,17445088,PADI1
7898431,chr1,+,17448179,17483314,PADI3
7898448,chr1,+,17507276,17563082,PADI4
7898466,chr1,+,17571277,17600782,PADI6
7898483,chr1,+,17738916,17896957,ARHGEF10L
7898516,chr1,+,17954394,18026143,ACTL8
7898521,chr1,+,18306826,18577563,IGSF21
7898533,chr1,+,18680010,18685067,KLHDC7A
7898535,chr1,+,18712198,18712468,---
7898537,chr1,+,18830086,18935218,PAX7
7898549,chr1,+,19450661,19459209,MRTO4
7898556,chr1,+,19511406,19531508,PQLC2
7898568,chr1,+,19597959,19600295,LOC644083
7898570,chr1,+,19623464,19623680,---
7898572,chr1,+,19709673,19709814,---
7898574,chr1,+,19796053,19827761,C1orf151
7898582,chr5,-,149803984,149809512,C1orf151
7898585,chr1,+,19843394,19857532,NBL1
7898594,chr1,+,19864366,19878642,HTR6
7898602,chr1,+,20103403,20107448,OTUD3
7898607,chr1,+,20170049,20170349,---
7898609,chr1,+,20269408,20290243,PLA2G5
7898616,chr1,+,20338409,20349466,PLA2G2F
7898623,chr1,+,20385164,20392529,UBXN10
7898627,chr1,+,20531994,20553331,VWA5B1
7898653,chr1,+,20751875,20754094,FAM43B
7898655,chr1,+,20788030,20817987,CDA
7898663,chr1,+,20832534,20850591,PINK1
7898673,chr1,+,21597066,21597442,---
7898675,chr1,+,21613300,21613372,---
7898679,chr1,+,21639217,21683980,NBPF3
7898693,chr1,+,21708444,21777492,ALPL
7898707,chr1,+,22011344,22024301,LDLRAD2
7898713,chr1,+,22176004,22188434,ELA3B
7898721,chr1,+,22186560,22186857,---
7898725,chr1,+,22200735,22211620,ELA3A
7898732,chr1,+,22209729,22210026,---
7898736,chr1,+,22224628,22230302,HSPC157
7898739,chr1,+,22251706,22289883,CDC42
7898750,chr1,+,22650930,22730237,ZBTB40
7898773,chr1,+,22762590,22802674,EPHA8
7898793,chr1,+,22836659,22838688,C1QA
7898799,chr1,+,22842704,22847190,C1QC
7898805,chr1,+,22852268,22860616,C1QB
7898809,chr1,+,22909917,23114410,EPHB2
7898833,chr1,+,23218527,23282771,AOF2
7898854,chr1,+,23361783,23361890,---
7898856,chr1,+,23363032,23363117,---
7898858,chr1,+,23568297,23570915,C1orf213
7898869,chr1,+,23780571,23839644,MDS2
7898875,chr1,+,23891685,23895492,RPL11
7898881,chr1,+,23942442,23961135,TCEB3
7898894,chr1,+,23977462,23987307,C1orf128
7898902,chr1,+,23990232,23994616,LYPLA2
7898916,chr1,+,24518467,24554395,GRHL3
7898939,chr1,+,24614831,24672059,NPAL3
7898957,chr1,+,24701973,24735014,RCAN3
7898967,chr1,+,24788541,24808403,C1orf130
7898975,chr1,+,24842180,24872359,SRRM1
7898988,chr1,+,24944346,25043403,CLIC4
7898998,chr1,+,25471567,25529523,RHD
